iter	Passed	Remaining
0	17	17046
1	29	14777
2	36	12152
3	42	10615
4	49	9783
5	55	9226
6	61	8699
7	68	8533
8	74	8241
9	81	8050
10	89	8039
11	96	7913
12	104	7906
13	112	7906
14	119	7848
15	125	7729
16	131	7608
17	136	7470
18	142	7369
19	148	7283
20	154	7215
21	16021	18022	16622	18723	17123	19424	17724	20125	18325	20726	18926	21427	19527	22128	20128	22729	21029	23430	21630	24031	22231	248	7525
32	257	7530
33	267	7598
34	276	7613
35	287	7690
36	296	7718
37	303	7681
38	316	7804
39	325	7809
40	335	7848
41	343	7836
42	353	7867
43	361	7853
44	368	7824
45	376	7815
46	384	7803
47	392	7780
48	400	7767
49	407	7746
50	415	7726
51	425	7754
52	433	7753
53	443	7772
54	453	7787
55	465	7850
56	473	7833
57	480	7807
58	487	7781
59	494	7745
60	501	7726
61	509	7713
62	516	7684
63	525	7684
64	533	7667
65	540	7654
66	549	7650
67	559	7666
68	566	7646
69	574	7630
70	584	7645
71	596	7684
72	607	7711
73	613	7682
74	623	7685
75	630	7670
76	638	7656
77	645	7632
78	657	7661
79	664	7640
80	671	7621
81	680	7618
82	688	7602
83	695	7586
84	703	7574
85	709	7543
86	716	7520
87	724	7511
88	732	7497
89	740	7484
90	749	7491
91	756	7470
92	765	7463
93	775	7470
94	783	7459
95	788	7424
96	798	7436
97	806	7421
98	814	7410
99	822	7402
100	832	7408
101	839	7394
102	847	7380
103	855	7369
104	864	7370
105	871	7347
106	880	7348
107	887	7327
108	897	7340
109	906	7333
110	913	7319
111	921	7304
112	929	7294
113	938	7290
114	945	7277
115	953	7266
116	964	7280
117	972	7266
118	980	7255
119	986	7233
120	993	7217
121	1002	7218
122	1011	7210
123	1018	7196
124	1024	7173
125	1031	7153
126	1043	7173
127	1050	7158
128	1060	7161
129	1069	7155
130	1079	7159
131	1086	7144
132	1094	7133
133	1100	7114
134	1110	7113
135	1117	7099
136	1124	7084
137	1131	7064
138	1142	7077
139	1149	7060
140	1157	7051
141	1164	7038
142	1172	7026
143	1182	7029
144	1189	7015
145	1198	7012
146	1206	6999
147	1214	6991
148	1221	6978
149	1227	6956
150	1236	6953
151	1247	6957
152	1254	6945
153	1264	6944
154	1270	6928
155	1278	6917
156	1286	6909
157	1295	6902
158	1302	6888
159	1311	6886
160	1321	6884
161	1328	6873
162	1335	6859
163	1345	6858
164	1352	6844
165	1366	6865
166	1374	6853
167	1381	6840
168	1388	6827
169	1395	6815
170	1404	6808
171	1411	6794
172	1418	6782
173	1427	6778
174	1436	6770
175	1444	6761
176	1451	6750
177	1461	6748
178	1467	6732
179	1475	6719
180	1484	6715
181	1491	6705
182	1498	6691
183	1505	6677
184	1514	6673
185	1521	6660
186	1528	6646
187	1536	6634
188	1542	6618
189	1549	6605
190	1558	6600
191	1564	6585
192	1574	6582
193	1582	6572
194	1590	6567
195	1597	6553
196	1607	65197197	1615	65198198	1622	65199199	1631	6525
200	1637	65201201	1644	64202202	1652	64203203	1658	64204204	1667	64205	1686	6499
206	1695	6495
207	1703	6485
208	1710	6473
209	1718	6463
210	1727	6459
211	1735	6450
212	1743	6442
213	1751	6432
214	1762	6434
215	1768	6420
216	1777	6412
217217	1774	63218218	1783	63219219	1792	63220220	1801	63221221	1808	63222222	1817	63223223	1826	6326
224	1833	6316
225	1840	6304
226	1848	6296
227	1856	6286
228	1866	6284
229	1873	6272
230	1883	6271
231	1891	6260
232	1899	6251
233	1909	6250
234	1919	6247
235	1928	6241
236	1935	6232
237	1945	6228
238	1953	6221
239	1963	6217
240	1971	6208
241	1981	6206
242	1989	6197
243	1994	6180
244	2002	6170
245	2011	6164
246	2018	6153
247	2028	6152
248	2036	6141
249	2045	6135
250	2051	6120
251	2058	6109
252	2066	6101
253	2075	6094
254	2080	60255255	2091	6078
